NIT,YEAR,Costo_de_ventas,Gastos_de_ventas,Costo_de_ventas_dif,Gastos_de_ventas_dif,balance_fiscal,cuenta_corriente,desempleo,inflacion,pib,tasa_intervencion,trm
860050956,2018,30663434.0,4533365.0,-2732607.0,4533365.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
860501682,2018,57703425.0,7796907.0,12605886.0,7796907.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
890117431,2018,18458595.0,2098534.0,957689.0,2098534.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
890300012,2018,24601978.0,2365611.0,-10892762.0,2365611.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
890311366,2018,28242513.0,8103166.0,426058.0,8103166.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
890904459,2018,92360857.0,10030521.0,10046727.0,10030521.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
890909034,2018,1736156.0,183814.0,-427512.0,183814.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
890929951,2018,75929483.0,1180434.0,12335092.0,1180434.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
900173460,2018,4461062.0,686750.0,-97158.0,686750.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
900184722,2018,46291017.0,5169423.0,-734373.0,5169423.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
900204182,2018,87856734.0,8628978.0,1761586.0,8628978.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
900234565,2018,48454520.0,6727499.0,-5758426.0,6727499.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
900364670,2018,13653296.0,208080.0,-6188792.0,208080.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
900378893,2018,169567783.0,8326660.0,-4439087.0,8326660.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
900389088,2018,6880597.0,166062.0,-1832745.0,166062.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
900437650,2018,8351676.0,5112417.0,-813980.0,5112417.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
